scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,feasible_route_count,feasible_alternative_count,fastest_route_id,predicted_optimal_route_id,oracle_optimal_route_id,predicted_optimal_travel_time_minutes,predicted_optimal_additional_time_minutes,predicted_optimal_predicted_exposure,predicted_optimal_oracle_exposure,predicted_exposure_reduction_vs_fastest,oracle_exposure_reduction_vs_fastest,oracle_exposure_fastest,oracle_exposure_oracle_optimal,decision_regret,oracle_optimal_agreement
od_08,motorbike,2.0,0.11975369837779741,18.700945583245588,4,3,motorbike-1,motorbike-1,motorbike-1,16.700945583245588,0.0,429.6715313640514,539.4089466786367,0.0,0.0,539.4089466786367,539.4089466786367,0.0,True
od_08,motorbike,3.0,0.1796305475666961,19.700945583245588,4,3,motorbike-1,motorbike-1,motorbike-1,16.700945583245588,0.0,429.6715313640514,539.4089466786367,0.0,0.0,539.4089466786367,539.4089466786367,0.0,True
od_08,motorbike,5.0,0.29938424594449353,21.700945583245588,6,5,motorbike-1,motorbike-1,motorbike-1,16.700945583245588,0.0,429.6715313640514,539.4089466786367,0.0,0.0,539.4089466786367,539.4089466786367,0.0,True
od_08,motorbike,10.0,0.5987684918889871,26.700945583245588,8,7,motorbike-1,motorbike-1,motorbike-1,16.700945583245588,0.0,429.6715313640514,539.4089466786367,0.0,0.0,539.4089466786367,539.4089466786367,0.0,True
od_08,walking,0.0,0.0,82.44427460179587,1,0,walking-1,walking-1,walking-1,82.44427460179587,0.0,2122.3686317194865,2536.0399494045337,0.0,0.0,2536.0399494045337,2536.0399494045337,0.0,True
od_08,walking,1.0,0.012129405041526282,83.44427460179587,3,2,walking-1,walking-1,walking-1,82.44427460179587,0.0,2122.3686317194865,2536.0399494045337,0.0,0.0,2536.0399494045337,2536.0399494045337,0.0,True
od_08,walking,2.0,0.024258810083052564,84.44427460179587,3,2,walking-1,walking-1,walking-1,82.44427460179587,0.0,2122.3686317194865,2536.0399494045337,0.0,0.0,2536.0399494045337,2536.0399494045337,0.0,True
od_08,walking,3.0,0.03638821512457885,85.44427460179587,4,3,walking-1,walking-1,walking-1,82.44427460179587,0.0,2122.3686317194865,2536.0399494045337,0.0,0.0,2536.0399494045337,2536.0399494045337,0.0,True
od_08,walking,5.0,0.06064702520763141,87.44427460179587,5,4,walking-1,walking-1,walking-1,82.44427460179587,0.0,2122.3686317194865,2536.0399494045337,0.0,0.0,2536.0399494045337,2536.0399494045337,0.0,True
od_08,walking,10.0,0.12129405041526282,92.44427460179587,6,5,walking-1,walking-1,walking-1,82.44427460179587,0.0,2122.3686317194865,2536.0399494045337,0.0,0.0,2536.0399494045337,2536.0399494045337,0.0,True
od_09,motorbike,0.0,0.0,9.921896735442521,1,0,motorbike-1,motorbike-1,motorbike-1,9.921896735442521,0.0,227.65398072470325,257.2031686150781,0.0,0.0,257.2031686150781,257.2031686150781,0.0,True
od_09,motorbike,1.0,0.10078718078448128,10.921896735442521,2,1,motorbike-1,motorbike-1,motorbike-1,9.921896735442521,0.0,227.65398072470325,257.2031686150781,0.0,0.0,257.2031686150781,257.2031686150781,0.0,True
od_09,motorbike,2.0,0.20157436156896255,11.921896735442521,3,2,motorbike-1,motorbike-1,motorbike-1,9.921896735442521,0.0,227.65398072470325,257.2031686150781,0.0,0.0,257.2031686150781,257.2031686150781,0.0,True
od_09,motorbike,3.0,0.3023615423534438,12.921896735442521,4,3,motorbike-1,motorbike-1,motorbike-1,9.921896735442521,0.0,227.65398072470325,257.2031686150781,0.0,0.0,257.2031686150781,257.2031686150781,0.0,True
od_09,motorbike,5.0,0.5039359039224064,14.921896735442521,5,4,motorbike-1,motorbike-1,motorbike-1,9.921896735442521,0.0,227.65398072470325,257.2031686150781,0.0,0.0,257.2031686150781,257.2031686150781,0.0,True
od_09,motorbike,10.0,1.0078718078448128,19.921896735442523,7,6,motorbike-1,motorbike-1,motorbike-1,9.921896735442521,0.0,227.65398072470325,257.2031686150781,0.0,0.0,257.2031686150781,257.2031686150781,0.0,True
od_09,walking,0.0,0.0,44.57985461725738,1,0,walking-1,walking-1,walking-1,44.57985461725738,0.0,1004.3434054282648,1115.931158650744,0.0,0.0,1115.931158650744,1115.931158650744,0.0,True
od_09,walking,1.0,0.022431656823144693,45.57985461725738,3,2,walking-1,walking-1,walking-1,44.57985461725738,0.0,1004.3434054282648,1115.931158650744,0.0,0.0,1115.931158650744,1115.931158650744,0.0,True
od_09,walking,2.0,0.044863313646289385,46.57985461725738,3,2,walking-1,walking-1,walking-1,44.57985461725738,0.0,1004.3434054282648,1115.931158650744,0.0,0.0,1115.931158650744,1115.931158650744,0.0,True
od_09,walking,3.0,0.06729497046943408,47.57985461725738,3,2,walking-1,walking-1,walking-1,44.57985461725738,0.0,1004.3434054282648,1115.931158650744,0.0,0.0,1115.931158650744,1115.931158650744,0.0,True
od_09,walking,5.0,0.11215828411572347,49.57985461725738,4,3,walking-1,walking-1,walking-1,44.57985461725738,0.0,1004.3434054282648,1115.931158650744,0.0,0.0,1115.931158650744,1115.931158650744,0.0,True
od_09,walking,10.0,0.22431656823144694,54.57985461725738,6,5,walking-1,walking-1,walking-1,44.57985461725738,0.0,1004.3434054282648,1115.931158650744,0.0,0.0,1115.931158650744,1115.931158650744,0.0,True
od_10,motorbike,0.0,0.0,10.045650330099813,1,0,motorbike-1,motorbike-1,motorbike-1,10.045650330099813,0.0,265.26484096987997,371.1718338540861,0.0,0.0,371.1718338540861,371.1718338540861,0.0,True
od_10,motorbike,1.0,0.09954557118155874,11.045650330099813,2,1,motorbike-1,motorbike-1,motorbike-1,10.045650330099813,0.0,265.26484096987997,371.1718338540861,0.0,0.0,371.1718338540861,371.1718338540861,0.0,True
